symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events
TECHM.NS,BUY,2026-01-19,1718.300048828125,16,0.06757415369636444,37.257149832589285,,,TECHM.NS,,,,,2026-01-21,1686.699951171875,TRAILING_STOP,-505.6015625,44.28928653593751,-549.8908490359375,0,[]
ETERNAL.NS,SELL,2026-01-27,253.85000610351562,44,0.07698221510228426,13.267857142857142,,,ETERNAL.NS,,,,,2026-01-29,275.3500061035156,TRAILING_STOP,-946.0,18.619070710759278,-964.6190707107593,0,[]
TATASTEEL.NS,BUY,2026-01-29,202.32000732421875,119,0.0996861139723674,4.933568681989398,,,TATASTEEL.NS,,,,,2026-01-30,193.1300048828125,TRAILING_STOP,-1093.6102905273438,37.976875722670286,-1131.587166250014,0,[]
GRASIM.NS,BUY,2026-02-10,2953.89990234375,8,0.0188516911508645,65.36429268973214,,,GRASIM.NS,,,,,2026-02-19,2864.300048828125,TRAILING_STOP,-716.798828125,37.71799536294922,-754.5168234879492,0,[]
NTPC.NS,BUY,2026-02-23,375.45001220703125,91,0.058679914107909646,6.360713413783482,,,NTPC.NS,,,,,2026-03-02,377.54998779296875,TRAILING_STOP,191.0977783203125,56.05697002578613,135.04080829452636,0,[]
INDIGO.NS,SELL,2026-03-04,4392.89990234375,4,0.04092641978062538,117.40712193080357,,,INDIGO.NS,,,,,2026-03-10,4380.39990234375,TRAILING_STOP,50.0,28.688533509804685,21.311466490195315,0,[]
TCS.NS,SELL,2026-03-12,2442.39990234375,9,0.14981028735590324,60.492832728794646,,,TCS.NS,,,,,2026-03-18,2440.800048828125,TRAILING_STOP,14.398681640625,35.9074543127124,-21.508772672087403,0,[]
CIPLA.NS,SELL,2026-03-19,1239.199951171875,21,0.054902619144578446,27.278573172433035,,,CIPLA.NS,,,,,2026-04-01,1195.9000244140625,TRAILING_STOP,909.2984619140625,42.159837046497806,867.1386248675647,0,[]
HDFCLIFE.NS,SELL,2026-04-02,566.0999755859375,30,0.11830967234530171,18.98215593610491,,,HDFCLIFE.NS,,,,,2026-04-08,598.2999877929688,TRAILING_STOP,-966.0003662109375,28.12505042689819,-994.1254166378357,0,[]
POWERGRID.NS,BUY,2026-04-20,319.70001220703125,72,0.021815542595536374,7.967856270926339,,,POWERGRID.NS,,,,,2026-05-05,319.45001220703125,END_OF_TEST,-18.0,37.58464896793946,-55.58464896793946,0,[]
